id,MusealeInvNr,DatumAufnahme,DatierungInschrift,OrtGemeinde,OrtOrtschaft,OrtWeiler,GenauerStandort,fruehereStandorte,Inschriftengattung,Inschriftentraeger,Schriftfeld_Hoehe_mm,Schriftfeld_Breite_mm,Majuskel_mm,Minuskel_mm,Mittellaenge_mm,Oberlaenge_mm,FarbenInschriftentraeger,FarbenSchrift,Erhaltungszustand,Transkription,Kennname,TitelGradBeruf,ausfuehrenderKuenstler,ReschKopialSignatur,ReschKopialText,AndereKopialSignatur,AndereKopialText,Notizen,Bemerkungen,Quellen,created,altered,status,bearbeiter,TranskriptionSuchtext,zustand,Schriftanbringung,Schlagworte,Restaurierungsphasen,AllgemeineBeschreibung,Schriftbeschreibung,Schriftklassifikation
1,,2011-07-07,1373 (?),Brixen,Dombezirk,Pfarrkirche St. Michael,"Langhaus-Südwand, außen",,Gedenkinschrift,Epitaph,670-680,575-580,48-55,,,,Marmor,ausgezeichnet,,"<p>A<sup>o</sup> &middot; D &middot; M<sup>1</sup> &middot; CCC &middot; LXXIII &middot; AM<sup>1</sup> / XVIII &middot; APPRIL &middot; STARB &middot; / GEORG<sup>2</sup> &middot; HALBSLEBEN / DEM GOT<sup>3</sup> &middot; G<span style=""text-decoration: underline;"">NE</span>DIG<sup>4</sup> &middot; SEIN WOL<sup>5</sup></p>",Georg Halbsleben,,,"Mon. I, S. 36, Nr. 8",Anno Domini M. CCC. LXXiii. am Xviii. April Starb Georg Halbsleben. Dem / Gott genädig Sein woll.,,,!!! Biographie recherchieren !!! Wappenbeschreibung,"Die Datierung ist irreführend, da sowohl die deutsche Sprache als auch das Schrift- und überhaupt das Erscheinungsbild des Steines keineswegs eine Verortung in der zweiten Hälfte des 14. Jahrhunderts zulässt - vielmehr ist von einer nachträglichen Anfertigung des Epitaphs für den Verstorbenen um ca. 1500 oder später auszugehen (vgl. die Charakterisierung als ""Epitaphium Authentizatum"" bei Resch!). Dieser Befund könnte sich auch mit dem Hinweis Konrad Fischnalers decken, dass für Georg Halbsleben 1533 der Adelstitel bestätigt wurde. Auf dem Epitaph fehlt noch jeder Hinweis auf den Adelsstand (das Visier des Helms in der Helmzier ist geschlossen). Der Stein wäre somit vor 1533 zu datieren. Leo Santifaller allerdings vertritt die Meinung, dass das Geschlehct seit der Mitte des 15. Jahrhunderts ""jedenfalls zum Adel gehörig"" gewesen sei, gibt aber das Jahr der Adelserneuerung mit 1553 an (Santifaller, Domkapitel, 330). Rudolf von Granichstaedten-Czerva spricht von einer Adelserhebung am 18.4.1555 (Granichstaedten-Czerva, Brixen, 185).","Zum Wappen der Halbsleben:
- Conrad Fischnaler, Tirolisch-Vorarlberg'scher Wappenschlüssel, Zweiter Teil, 1. und 2. Folge (Ausgewählte Schriften 4), Innsbruck 1940, 384: ""Quf. Rot über Weiß (Silber), oben 2 weiße Lilien, Zepter geschrägt. Hz. Flug w. v. Heinrich Halbsleben, Bg. zu Brixen, s. 1353 Mai 23. ABM. (Rbr.) Grabstein W p. Var. 2 goldene Lilien, Zepter. Hz. Kr., die Zepter zwischen roten Büffelh., jedes mit 6 goldenen Straußenfedern besteckt. Bestätigung des Adelsst. für Georg u. Thomas H. von K. Ferdinande I. 1533, April 18, Wien.""
- Conrad Fischnaler, Tirolisch-Vorarlberg'scher Wappenschlüssel, Erster Teil, 2. bis 5. Folge mit einem Nachtrag zur 1. Folge (Ausgewählte Schriften 3), Innsbruck 1938, 438: ""In Weiß (Silber) zwei rote Lilienstäbe geschrägt, Hz. weißer (silberner) Flug mit Schildfig. oder dieselbe zwischen zwei Büffelh. mit drei Pfauenfedern r. seitlich nach außen geziert, Ulrich Halbsleben in St. Andrä bei Brixen, s. 1462 Sonnt. n. Urban.""
Zur Familie der Halbsleben: 
Leo Santifaller, Das Brixner Domkapitel in seiner persönlichen Zusammensetzung im Mittelalter (Schlern-Schriften 7), Innsbruck [1924], 330-332.
Rudolf Granichstaedten-Czerva, Brixen. Reichsfürstentum und Hofstaat, Wien 1948, 184-186.",2011-08-30 16:18:56,2017-03-28 14:19:38,1,,Ao · D · M1 · CCC · LXXIII · AM1 / XVIII · APPRIL · STARB · / GEORG2 · HALBSLEBEN / DEM GOT3 · GNEDIG4 · SEIN WOL5,2,eingetieft,Wappen; Schild; Datierung,,"Epitaph für den Brixner Bürger Georg Halbsleben.
Der annähernd quadratische Stein zeigt ein umlaufendes Schriftfeld, das eine in einer quadratischen Kartusche angebrachte Wappendarstellung umschließt, welche an mehreren Stellen aus ihrer Umrahmung ausbricht und in die Schrift hineinreicht. Das Wappen wird von einem nach rechts gewandten Stechhelm mit Krone nach oben abgeschlossen, die Darstellung ist mit relativ viel Ornamentik ausgeführt und zeigt eindeutig den Duktus des frühen 16. Jahrhunderts, etwa in der floralen Rankenornamentik im unteren Teil des Wappens.
Die Schrift ist durch dreieckige Kerben gearbeitet; die Schriftrichtung ist zentrifugal, das heißt, es wurde hier vermutlich der Typus der Grabplatte in kleinerem Format nachgeahmt. Es ist aber davon auszugehen, dass der Stein niemals die Funktion einer tatsächlichen Grabplatte hatte, sondern stets als Epitaph an der Friedhofsmauer eingelassen war. Resch beschreibt den Standort: ""Epitaphium Authentizatum [!] in Coemeterio ad murum Ecclesiae Parochialis Australem superiorem"".","Die Schrift (Kapitalis) ist relativ schön und regelmäßig, scheinbar von geübter Hand gemeißelt. Dennoch zeigen sich in der Aufteilung des zur Verfügung stehenden Raumes Unsicherheiten, wenn etwa die Schrifthöhe in den letzten beiden Buchstaben auf ca. 20 mm reduziert werden musste. Es handelt sich um relativ schmale Buchstaben, allein das hochgestellte ""o"" ist beispielsweise kreisförmig, während alle anderen ellipsoid angelegt sind. Die Buchstaben weisen ausgeprägte dreieckige Serifen auf. Alle A sind spitz, mit geraden Mittelbalken und ohne Deckstriche, alle E mit verkürztem Mittelbalken, alle I mit darüber liegenden Punkten, alle R mit geschwungener Cauda, alle S mit gegenläufigen Bögen gearbeitet, die nahtlos in einer Schwellung im Mittelteil des Buchstabens ineinander übergehen. Die Trennzeichen zwischen den Wörtern sind jeweils als in einem 45-Grad-Winkel verlaufende doppelte kurze Striche gearbeitet, die sowohl links- als auch rechtsschräg sind. 

1) kapitales M geraden Typs, Mittelteil endet etwas unterhalb der gedachten Mittellinie; der Buchstabe ist nicht ganz symmetrisch, d. h. der Mittelteil tendiert etwas nach links
2) G hier etwas aufwändiger gearbeitet mit längerer Serife oben, eingestellter Cauda und spitz auslaufendem Bogen unten, der sich etwas unter die Grundlinie zieht
3) ""DEM GOT"" ist ohne Trennzeichen, quasi als Zusammenschreibung, gearbeitet
4) ""NE"" als Nexus litterarum
5) verschränktes W; Die Buchstaben O und L sind weniger hoch als die vorhergehenden: O etwa um zwei Drittel, L etwa um ein Drittel.",Renaissance-Kapitalis
2,,2011-07-07,1471,Brixen,Dombezirk,Pfarrkirche St. Michael,"Langhaus-Südwand, Portal",,Gedächtnisinschrift: Baunachricht; Autonome Inschrift: Datierung,Portalschwelle,1930,590-600,120-150,0,,,"Brixner Granit, grau",sehr gut,,<p>1<sup>1</sup>4<sup>2</sup>7<sup>3</sup>1<sup>4</sup></p>,,,,"Mon. I, S. 36, Nr. 13",1471,,,!!! Inschriftengattung? Baugeschichte der Pfarrkirche kontrollieren !!!,"Resch beschreibt die Inschrift: ""sculpuntur bina sceptra transversa, præfixis cifris 1471.""
Diese Zuschreibung ist aber anzuzweifeln, da Conrad Fischnaler das Wappen der Halbsleben anders beschreibt (s. Quellen).","Zum Wappen der Halbsleben:
Conrad Fischnaler, Tirolisch-Vorarlberg'scher Wappenschlüssel, Zweiter Teil, 1. und 2. Folge (Ausgewählte Schriften 4), Innsbruck 1940, 384: ""Quf. Rot über Weiß (Silber), oben 2 weiße Lilien, Zepter geschrägt. Hz. Flug w. v. Heinrich Halbsleben, Bg. zu Brixen, s. 1353 Mai 23. ABM. (Rbr.) Grabstein W p. Var. 2 goldene Lilien, Zepter. Hz. Kr., die Zepter zwischen roten Büffelh., jedes mit 6 goldenen Straußenfedern besteckt. Bestätigung des Adelsst. für Georg u. Thomas H. von K. Ferdinande I. 1533, April 18, Wien.""

Conrad Fischnaler, Tirolisch-Vorarlberg'scher Wappenschlüssel, Erster Teil, 2. bis 5. Folge mit einem Nachtrag zur 1. Folge (Ausgewählte Schriften 3), Innsbruck 1938, 438: ""In Weiß (Silber) zwei rote Lilienstäbe geschrägt, Hz. weißer (silberner) Flug mit Schildfig. oder dieselbe zwischen zwei Büffelh. mit drei Pfauenfedern r. seitlich nach außen geziert, Ulrich Halbsleben in St. Andrä bei Brixen, s. 1462 Sonnt. n. Urban.""

Zur Familie der Halbsleben: Leo Santifaller, Das Brixner Domkapitel in seiner persönlichen Zusammensetzung im Mittelalter (Schlern-Schriften 7), Innsbruck [1924], 330-332.
Rudolf Granichstaedten-Czerva, Brixen. Reichsfürstentum und Hofstaat, Wien 1948, 184-186.",2011-08-30 16:19:03,2017-03-28 14:19:38,1,,11427314,2,eingetieft,Wappen; Halbsleben; ,,"Türschwelle des südlichen Seitenportals der Pfarrkirche St. Michael, welches in den alten Friedhof führt. Der Stein zeigt eine Jahreszahl in arabischen Ziffern und ein Wappen. Resch interpretiert den Stein als ""Epitaphium Authenticum sepulturae pro Familia Halbsleben nobilium"", was aber anzuzweifeln ist - aufgrund der Maße, aber auch aufgrund der Gestaltung des Steins (Jahreszahl im oberen Bereich, Wappen im oberen Mittelfeld) kommt die Verwendung als Grabplatte wohl nicht in Frage. Zu Reschs Zeit lag die Schwelle jedenfalls bereits ""in introiut Ecclesiae ad januam Australem"".","Arabische Jahreszahl. Höhe der einzelnen Ziffern: 1 140 mm; 4 150 mm; 7 145 mm; 1 120 mm, samt Punkt 170mm.

1) Schaft, oben mit Anstrich nach rechts oben
2) Schlingenförmige 4, eckig, oben spitz (der obere Teil viereckig)
3) Lambdaförmige 7, bestehend aus zwei Schrägschäften
4) Ziffer hier im Gegensatz zur ersten ""1"" ohne Anstrich, sondern mit Punkt.",arabische Zahlen
3,,2011-08-24,1634,Brixen,Brixen,Griesgasse,Westliches Eisackufer,am ehemaligen Jungfraubrunnen,Gedächtnisinschrift; Renovierungsinschrift,Ufermauer,580,770,38,65,35,55,Marmor,sehr gut,,"<p>Junckhfrau Prunen, bin Ich genannt /</p>
<p>Reichen vnd Armen, wol bekhannt,/</p>
<p>Wer Da Trinckht , th&uuml;et mich loben vnd Ern /</p>
<p>Ohne shaden , meiner noch mer begern,/</p>
<p>Aber Der Eisackh wolt, mich gancz verd&euml;rbe /</p>
<p>Hab Ich be&yuml; Den Lob(liche) : stenden Hilf erworben /</p>
<p>Mit Tiefen ferern ausr&uuml;nst z&uuml;r Prob allain /</p>
<p>Nachkhimbling Macht Den Recht von stain /</p>
<p>16 &middot; 34</p>",,,,"Mon., Suppl., S. 8-9, Nr. 38","Junckfrau=Prunnen bin Jch genannt, / Reichen und Armen wol bekannt. / Wer da Trinckht, thuet mich loben und Ehren / Ohne ſchaden Meiner, noch mehr begeren. / Aber der Eiſackh wolt mich ganz verderben, / Hab Jch bey den Loebl. ſtaenden Hilf erworben. / Mit Tiefen ferren auſrunſt zur Prob allain / Nachkhimbling Macht den Recht von ſtain. / 16 // 34.",,,,,"Ignaz Mader, Brixner Häusergeschichte (Schlern-Schriften 224), Innsbruck 1963, 438-439.",2011-08-30 16:19:13,2017-03-28 14:19:38,1,,"Junckhfrau Prunen, bin Ich genannt /
Reichen vnd Armen, wol bekhannt,/
Wer Da Trinckht , thüet mich loben vnd Ern /
Ohne shaden , meiner noch mer begern,/
Aber Der Eisackh wolt, mich gancz verdërbe /
Hab Ich beÿ Den Lob(liche) : stenden Hilf erworben /
Mit Tiefen ferern ausrünst zür Prob allain /
Nachkhimbling Macht Den Recht von stain /
16 · 34",2,eingetieft,Brunnen; Ziehbrunnen; Jungfrau; Eisack; metrisch; Gedicht,,"Inschriftenplatte des ehemaligen Jungfraubrunnen in Gries, Inschrift in einer freien metrischen Form.",,Fraktur
4,,2011-08-25,1632,Brixen,Altstadt,Runggadgasse Nr. 11a,"Haupteingang, Türsturz;",,Baunachricht; Datierung; Wappeninschrift,Türsturz,470,ca. 250-400,70-80,,,,Stein,"Stein und bildliche Darstellung gut, etwas verwittert; Schrift sehr gut;",,<p>1&middot; 6 &middot;&nbsp; 3 &middot; 2</p>,,,,,,,,,"Ursprünglich handelte es sich beim Gebäude um einen der ältesten Brixner Meierhöfe, der von Corneli de Paula im Jahr 1632 zu einem Adelssitz umfunktioniert wurde, nachdem einige bauliche Maßnahmen am Gebäude vollzogen wurden. Durch die Säkularisation kam das Haus an die Familie Malfatti aus Rovereto, die darin eine Tabakfabrik betrieben. Nach einigen Besitzer- und Funktionswechsel trat es in den Besitz der Stadtgemeinde, die das Gebäude als Kaserne verwendete.
","Ignaz Mader, Brixner Häusergeschichte (Schlern-Schriften 224), Innsbruck 1963, S. 134-136.
Josef Weingartner, Die Kunstdenkmäler Südtirols (Band II: Das mittlere und untere Eisacktal), Wien 1923, S. 119.",2011-08-30 16:50:50,2017-03-28 14:19:38,1,,1· 6 ·  3 · 2,3,eingetieft;,Bauinschrift; Türsturz; ,,Der Wappenstein am Türsturz weist auf den Umbau des Gebäudes zum Adelssitz der Corneli de Paula im Jahr 1632 hin. Als Wappen dient ein gleichschenkliges Trapez mit einer stilisierten Lilie (Fleur-de-Lys).,"Es handelt sich hierbei um eine geschwungene Form der arabischen Ziffern, die schon eher einer Schreibschrift ähnelt. Insbesondere die Zahlen 3 und 2 sind eher in der handschriftlichen Paläographie des frühen 17. Jahrhundert zu suchen. 
Die Jahreszahl wird durch die Spitze der Lilie geteilt, weshalb hier zwei Spatii vor und nach dem Trennungspunkt gesetzt werden.
Die Ziffer ""1"" besitzt einen einfachen Schaft mit Ansatz von Serifen (Verdickung zu den Enden hin), die beiden ""2"" unterscheiden sich in der Ausführung: erstere ist eingerollt mit offenen Bogen, die Zweite ist spitz.







",
5,,2011-08-25,1661,Brixen,Altstadt,Runggadgasse Nr. 6,Türsturz,,Datierung; Bauinschrift (?);,Türsturz,78,690,75-78,,,,Brixner Granit,"Stein sehr gut; Schrift stark verwittert, jedoch gut lesbar; ",,<p>16 + 61</p>,,,,,,,,,"Das Haus wird erstmals 1344 erwähnt als Heinrich Pinge und Perchthold Praust ""Haus und Hofstatt in der Runkade"" an Heinrich den Chorherrn und Kaplan der Allerheiligenkapelle verkaufen. In der Zeit der Inschrift, also Mitte des 17. Jhs., scheint es als Allerheiligen-Benefizium auf, jedoch kann nicht mehr nachgewiesen werden, wann dieses gestiftet wurde. 
Die Jahreszahl 1661 scheint in keinen der Quellen zu diesem Haus auf, jedoch handelt es sich mit größter Wahrscheinlichkeit um eine Baunachricht. ","Ignaz Mader, Brixner Häusergeschichte (Schlern-Schriften 224), Innsbruck 1963, 114.",2011-08-31 07:47:30,2017-03-28 14:19:38,1,,16 + 61,3,eingetieft;,Bauinschrift; Türsturz;,,"Steingerahmte Vierecktür mit einspringenden Eckstücken, am Türsturz die Jahreszahl, durch ein Kreuz unterbrochen.","Die Ziffer ""1"" besteht jeweils aus einem Schaft ohne Anstrich und ist nach unten nach links unter die Grundlinie mit einem leichten Bogen gezogen. Die Ziffer ""6"" hingegen ist hochgezogen mit einem geschlossenen Bogen.",
6,,2011-08-25,1657,Brixen,Brixen,Runggadgasse Nr. 26,Östliche Außenmauer,Ziehbrunnen (?),Baunachricht; ,Mauer,205,75,60,75,50,85,Brixner Granit,sehr gut,,<p>Gott<sup>1</sup> Ebigs Lob / 1<sup>2</sup> &middot; 6 &middot; H(ans) P(eisser) &middot; 5<sup>3</sup> &middot; 7<sup>4</sup> &middot;</p>,HP; Hans Peisser; ,Stadtrat; Bürgermeister; ,,,,"Mader, Häusergeschichte, S. 125",16. H. P. 57. Gott ebiges Lob,,"Es handelt sich hierbei um eine der vielen Bauinschriften, die Hans Peisser (geb. 1602; gest. 1681), Stadtrat und späterer Bürgermeister von Brixen (1635-1636), hinterlassen hat. Peisser war zudem der Wirt vom Gasthof ""Goldener Adler"". Nach den Erzählungen alter Brixner befand sich der Stein vor dem Umbau des Hauses durch August Staffler an einem Ziehbrunnen. Früher soll hier ein Torggelhaus mit einem oberen, offenem Aufbau gewesen sein. ","http://tirolerportraits.it/it/Ricerca-ritratto.aspx?ctl00_ContentPlaceHolderHaupt_RadGrid1ChangePage=91

Ignaz Mader, Brixner Häusergeschichte (Schlern-Schriften 224), Innsbruck 1963, 125.
",2011-08-31 08:48:27,2017-03-28 14:19:38,1,,Gott1 Ebigs Lob / 12 · 6 · H(ans) P(eisser) · 53 · 74 ·,3,eingetieft,Ziehbrunnen; Brunnen; Torggelhaus; Bürgermeister; ,Brixner Granit,"Eingemauerte Bauinschrift (vermutlich Brunneninschrift) an einer Außenmauer in der Runggadgasse, durch einen Zierrahmen abgegrenzt. ","Die Initialen sind gemäß der Frakturschrift stark verziert. Die Initialen H.P. sind in einer einfachen Kapitalis ausgeführt, mit leichten Verdickungen an den Schaftenden.
Die Ziffern ähneln sehr jenen von Inschrift Nr. 5, insbesondere die Ziffer ""6"" - hochgezogen und eingerollt. 

1) Bei beiden t's ist das obere Schaftende stark zu einem rechtsgerichteten Bogen ausgezogen, womit es eher einem f ähnelt.
2) Schaft nach unten links über die Grundlinie gezogen.
3) Schräg rechtsgewendet.
4) Etwas rechtsgewendete Ziffer 7 bestehend aus waagrechten Balken und leicht nach links durchgebogenem Schaft.
",Fraktur; Kapitalis;
7,,0000-00-00,,,,,,,,,0,0,0,0,0,0,,,,Neuer ungespeicherter Eintrag,,,,,,,,,,,2011-08-31 09:11:08,0000-00-00 00:00:00,-1,,,0,,,,,,
8,,0000-00-00,,,,,,,,,0,0,0,0,0,0,,,,Neuer ungespeicherter Eintrag,,,,,,,,,,,2011-08-31 09:20:30,0000-00-00 00:00:00,-1,,,0,,,,,,
9,,0000-00-00,,,,,,,,,0,0,0,0,0,0,,,,Neuer ungespeicherter Eintrag,,,,,,,,,,,2011-08-31 09:29:40,0000-00-00 00:00:00,-1,,,0,,,,,,
10,,0000-00-00,,,,,,,,,0,0,0,0,0,0,,,,Neuer ungespeicherter Eintrag,,,,,,,,,,,2011-08-31 09:32:18,0000-00-00 00:00:00,-1,,,0,,,,,,
